Gene stable ID	Transcript stable ID	STRING ID
Vitvi10g04393	Vitvi10g04393_t001	
Vitvi04g00081	Vitvi04g00081_t001	29760.VIT_04s0008g00960.t01
Vitvi12g04592	Vitvi12g04592_t001	
Vitvi15g04201	Vitvi15g04201_t001	
Vitvi04g04444	Vitvi04g04444_t001	
Vitvi02g01440	Vitvi02g01440_t001	29760.VIT_02s0154g00300.t01
Vitvi14g04348	Vitvi14g04348_t001	
Vitvi07g02540	Vitvi07g02540_t001	
Vitvi08g01409	Vitvi08g01409_t001	
Vitvi07g00903	Vitvi07g00903_t001	29760.VIT_07s0005g06290.t01
Vitvi12g02389	Vitvi12g02389_t002	
Vitvi12g02389	Vitvi12g02389_t001	
Vitvi12g02389	Vitvi12g02389_t003	29760.VIT_12s0059g01750.t01
Vitvi02g01642	Vitvi02g01642_t001	
Vitvi06g00073	Vitvi06g00073_t001	
Vitvi11g00031	Vitvi11g00031_t001	
Vitvi07g01457	Vitvi07g01457_t001	
Vitvi07g01457	Vitvi07g01457_t002	
Vitvi13g04267	Vitvi13g04267_t001	
Vitvi13g04715	Vitvi13g04715_t001	
Vitvi08g01545	Vitvi08g01545_t001	29760.VIT_08s0007g04220.t01
Vitvi11g04339	Vitvi11g04339_t001	
Vitvi07g04747	Vitvi07g04747_t001	
Vitvi02g04063	Vitvi02g04063_t001	
Vitvi12g02444	Vitvi12g02444_t001	
Vitvi16g04458	Vitvi16g04458_t001	
Vitvi11g00542	Vitvi11g00542_t001	29760.VIT_11s0118g00200.t01
Vitvi06g04354	Vitvi06g04354_t001	
Vitvi07g04694	Vitvi07g04694_t001	
Vitvi04g01754	Vitvi04g01754_t001	29760.VIT_04s0044g01970.t01
Vitvi18g04695	Vitvi18g04695_t001	
Vitvi14g04557	Vitvi14g04557_t001	
Vitvi11g00356	Vitvi11g00356_t001	29760.VIT_11s0016g04160.t01
Vitvi06g00241	Vitvi06g00241_t003	
Vitvi06g00241	Vitvi06g00241_t001	
Vitvi06g00241	Vitvi06g00241_t002	
Vitvi10g01041	Vitvi10g01041_t001	29760.VIT_10s0003g05510.t01
Vitvi08g01843	Vitvi08g01843_t001	29760.VIT_08s0007g07670.t01
Vitvi04g04389	Vitvi04g04389_t001	
Vitvi08g00263	Vitvi08g00263_t001	
Vitvi03g04289	Vitvi03g04289_t001	
Vitvi06g01861	Vitvi06g01861_t001	
Vitvi08g00132	Vitvi08g00132_t001	
Vitvi07g04768	Vitvi07g04768_t001	
Vitvi04g01037	Vitvi04g01037_t001	29760.VIT_04s0043g00820.t01
Vitvi06g00723	Vitvi06g00723_t001	
Vitvi07g01852	Vitvi07g01852_t001	
Vitvi13g00936	Vitvi13g00936_t001	29760.VIT_13s0101g00160.t01
Vitvi05g04433	Vitvi05g04433_t001	
Vitvi02g01666	Vitvi02g01666_t001	
Vitvi04g01185	Vitvi04g01185_t003	
Vitvi04g01185	Vitvi04g01185_t002	
Vitvi04g01185	Vitvi04g01185_t001	
Vitvi15g04340	Vitvi15g04340_t001	
Vitvi17g00470	Vitvi17g00470_t001	29760.VIT_17s0000g04990.t01
Vitvi06g00300	Vitvi06g00300_t001	29760.VIT_06s0004g03020.t01
Vitvi18g00828	Vitvi18g00828_t001	29760.VIT_18s0001g11030.t01
Vitvi11g00566	Vitvi11g00566_t001	
Vitvi09g02092	Vitvi09g02092_t001	
Vitvi18g00511	Vitvi18g00511_t001	29760.VIT_18s0001g07370.t01
Vitvi14g04367	Vitvi14g04367_t001	
Vitvi07g00256	Vitvi07g00256_t001	29760.VIT_07s0104g01400.t01
Vitvi17g00986	Vitvi17g00986_t001	
Vitvi06g04174	Vitvi06g04174_t001	29760.VIT_06s0004g05440.t01
Vitvi07g04108	Vitvi07g04108_t001	
Vitvi10g02097	Vitvi10g02097_t001	
Vitvi14g00413	Vitvi14g00413_t001	29760.VIT_14s0030g01610.t01
Vitvi07g04239	Vitvi07g04239_t001	
Vitvi11g01674	Vitvi11g01674_t001	
Vitvi13g04248	Vitvi13g04248_t001	
Vitvi00g04052	Vitvi00g04052_t001	
Vitvi16g01767	Vitvi16g01767_t001	
Vitvi19g04057	Vitvi19g04057_t001	
Vitvi16g01215	Vitvi16g01215_t001	29760.VIT_16s0050g02530.t01
Vitvi02g00704	Vitvi02g00704_t001	
Vitvi02g04118	Vitvi02g04118_t001	
Vitvi17g04221	Vitvi17g04221_t001	
Vitvi18g01868	Vitvi18g01868_t001	
Vitvi13g04426	Vitvi13g04426_t001	
Vitvi01g01083	Vitvi01g01083_t001	29760.VIT_00s0261g00020.t01
Vitvi01g00509	Vitvi01g00509_t001	29760.VIT_01s0011g05960.t01
Vitvi14g01940	Vitvi14g01940_t001	29760.VIT_14s0108g00570.t01
Vitvi05g00923	Vitvi05g00923_t002	
Vitvi05g00923	Vitvi05g00923_t001	
Vitvi15g04437	Vitvi15g04437_t001	
Vitvi02g00381	Vitvi02g00381_t001	29760.VIT_02s0025g04120.t01
Vitvi19g00478	Vitvi19g00478_t001	
Vitvi18g00267	Vitvi18g00267_t003	
Vitvi18g00267	Vitvi18g00267_t001	29760.VIT_18s0001g02680.t01
Vitvi18g00267	Vitvi18g00267_t002	
Vitvi12g02120	Vitvi12g02120_t001	29760.VIT_12s0035g01780.t01
Vitvi01g02039	Vitvi01g02039_t001	29760.VIT_00s0225g00120.t01
Vitvi12g04048	Vitvi12g04048_t001	
Vitvi09g04100	Vitvi09g04100_t001	
Vitvi14g01033	Vitvi14g01033_t001	29760.VIT_14s0006g02030.t01
Vitvi18g04752	Vitvi18g04752_t001	
Vitvi12g02363	Vitvi12g02363_t001	
Vitvi06g00518	Vitvi06g00518_t001	
Vitvi13g01901	Vitvi13g01901_t001	
Vitvi08g01223	Vitvi08g01223_t002	
Vitvi08g01223	Vitvi08g01223_t001	
Vitvi02g04089	Vitvi02g04089_t001	
Vitvi09g04053	Vitvi09g04053_t001	
Vitvi01g00445	Vitvi01g00445_t001	29760.VIT_01s0011g05250.t01
Vitvi06g01763	Vitvi06g01763_t001	
Vitvi14g02495	Vitvi14g02495_t001	
Vitvi11g00098	Vitvi11g00098_t001	
Vitvi15g04199	Vitvi15g04199_t001	
Vitvi01g00779	Vitvi01g00779_t001	
Vitvi04g04363	Vitvi04g04363_t001	
Vitvi02g00626	Vitvi02g00626_t001	
Vitvi06g01050	Vitvi06g01050_t001	29760.VIT_06s0009g01570.t01
Vitvi04g04120	Vitvi04g04120_t001	
Vitvi18g01640	Vitvi18g01640_t001	
Vitvi03g01316	Vitvi03g01316_t002	
Vitvi03g01316	Vitvi03g01316_t001	
Vitvi13g00695	Vitvi13g00695_t001	
Vitvi09g00785	Vitvi09g00785_t001	
Vitvi16g00077	Vitvi16g00077_t001	
Vitvi03g04132	Vitvi03g04132_t001	
Vitvi04g01216	Vitvi04g01216_t001	
Vitvi15g04275	Vitvi15g04275_t001	
Vitvi19g01835	Vitvi19g01835_t001	
