TermID	padj	species
proteasome-mediated ubiquitin-dependent protein catabolic process	8.90198867464836e-34	Gmax
proteasomal ubiquitin-independent protein catabolic process	2.150681593114655e-31	Gmax
phospholipid catabolic process	1.596031073059514e-30	Gmax
proteasomal protein catabolic process	3.663923161653073e-30	Gmax
cutin biosynthetic process	1.4170668532273018e-29	Gmax
lipid catabolic process	5.5647042661397066e-27	Gmax
fatty acid metabolic process	6.191544670676654e-27	Gmax
long-chain fatty acid metabolic process	8.932348258930576e-24	Gmax
carboxylic acid metabolic process	1.781770940252185e-23	Gmax
trehalose metabolic process	1.0898555207993263e-21	Gmax
phosphatidylcholine metabolic process	2.6577130563876785e-21	Gmax
phosphatidylinositol-mediated signaling	4.056141779452194e-21	Gmax
trehalose metabolism in response to stress	4.375712566503347e-21	Gmax
carbohydrate metabolic process	9.031970035399201e-21	Gmax
DNA replication initiation	2.5941954111179722e-20	Gmax
glycolytic process	2.3161370223802915e-19	Gmax
glutamate catabolic process	4.338131930800438e-19	Gmax
fatty acid beta-oxidation	5.842686343751152e-19	Gmax
amine metabolic process	1.1114781119707332e-17	Gmax
glucose 6-phosphate metabolic process	1.3886277212014252e-16	Gmax
lipid metabolic process	1.8203487208925455e-15	Gmax
cellular glucose homeostasis	5.82633909983795e-15	Gmax
tricarboxylic acid cycle	7.159271846434241e-15	Gmax
trehalose biosynthetic process	7.159271846434241e-15	Gmax
rhythmic process	1.2875956657269407e-14	Gmax
double-strand break repair via break-induced replication	1.7717235264917805e-14	Gmax
cellular amino acid metabolic process	1.7717235264917805e-14	Gmax
carbohydrate phosphorylation	2.2854162797108124e-14	Gmax
polyamine catabolic process	2.820161398683085e-14	Gmax
acetyl-CoA biosynthetic process from pyruvate	3.908360023664665e-14	Gmax
starch biosynthetic process	4.7821098543126804e-14	Gmax
protein-chromophore linkage	9.241685971700693e-14	Gmax
pigment biosynthetic process	1.416679228734257e-13	Gmax
nucleoside metabolic process	3.6193806331373647e-13	Gmax
glucan catabolic process	5.888757142907751e-13	Gmax
glutamate metabolic process	5.888757142907751e-13	Gmax
glucosinolate catabolic process	2.458592768252298e-12	Gmax
positive regulation of proteasomal protein catabolic process	2.458592768252298e-12	Gmax
plant-type primary cell wall biogenesis	8.30103445278825e-12	Gmax
cellular response to tetrahydrofolate	1.614802435495547e-11	Gmax
hexose metabolic process	1.9711143176823087e-11	Gmax
inositol trisphosphate metabolic process	5.11294463346039e-11	Gmax
metabolic process	6.006860437975883e-11	Gmax
cellulose biosynthetic process	6.332018916675683e-11	Gmax
protein folding	1.3331354430096063e-10	Gmax
protein quality control for misfolded or incompletely synthesized proteins	2.632006274334578e-10	Gmax
photosynthesis, light harvesting	2.7734672223056454e-10	Gmax
photosynthesis, light harvesting in photosystem I	2.7734672223056454e-10	Gmax
folic acid metabolic process	2.7734672223056454e-10	Gmax
L-serine catabolic process	2.7734672223056454e-10	Gmax
glycine biosynthetic process from serine	6.418245727285729e-10	Gmax
sister chromatid segregation	8.160784259797208e-10	Gmax
malonyl-CoA biosynthetic process	1.3087289400626076e-9	Gmax
vernalization response	1.3256251371088627e-9	Gmax
nuclear polyadenylation-dependent mRNA catabolic process	1.6033917447635601e-9	Gmax
U1 snRNA 3'-end processing	1.6033917447635601e-9	Gmax
U5 snRNA 3'-end processing	1.6033917447635601e-9	Gmax
glycine metabolic process	1.957933767865002e-9	Gmax
mitotic DNA replication initiation	1.957933767865002e-9	Gmax
chromosome organization	2.4079312262867286e-9	Gmax
positive regulation of RNA polymerase II transcription preinitiation complex assembly	2.4079312262867286e-9	Gmax
biosynthetic process	2.8251706540341775e-9	Gmax
mRNA processing	4.000408013278064e-9	Gmax
fructose 1,6-bisphosphate metabolic process	4.937862465963902e-9	Gmax
inositol phosphorylation	4.937862465963902e-9	Gmax
wax biosynthetic process	4.937862465963902e-9	Gmax
proteolysis involved in cellular protein catabolic process	6.53192613585034e-9	Gmax
branched-chain amino acid metabolic process	7.939250196531962e-9	Gmax
branched-chain amino acid biosynthetic process	1.21344220527352e-8	Gmax
tRNA aminoacylation for protein translation	1.2877180861068447e-8	Gmax
tetrahydrofolate metabolic process	1.3297683180341453e-8	Gmax
fructose metabolic process	2.7553811993418868e-8	Gmax
post-transcriptional gene silencing by RNA	2.7553811993418868e-8	Gmax
glutaminyl-tRNA aminoacylation	3.025660907299244e-8	Gmax
glutamine family amino acid biosynthetic process	3.1100350668354655e-8	Gmax
proline biosynthetic process	3.1100350668354655e-8	Gmax
DNA strand elongation involved in DNA replication	3.1224340879831246e-8	Gmax
meiotic cell cycle	3.155821581392425e-8	Gmax
peptidyl-histidine phosphorylation	3.1727449389689516e-8	Gmax
phosphorelay signal transduction system	4.288298760907702e-8	Gmax
microtubule nucleation	6.653596489842626e-8	Gmax
protein modification by small protein conjugation	6.653596489842626e-8	Gmax
glycosaminoglycan biosynthetic process	9.125600476900408e-8	Gmax
UDP-glucuronate biosynthetic process	9.125600476900408e-8	Gmax
fatty acid beta-oxidation using acyl-CoA oxidase	1.7949114937494317e-7	Gmax
cellular response to glucose starvation	2.5421781690410177e-7	Gmax
regulation of gene expression, epigenetic	2.5421781690410177e-7	Gmax
chromatin remodeling	3.815365752517253e-7	Gmax
ubiquitin-dependent protein catabolic process	4.1329016175693063e-7	Gmax
cytidine to uridine editing	4.514517804498881e-7	Gmax
DNA replication	4.930573441088671e-7	Gmax
defense response to virus	5.186403063606883e-7	Gmax
tetrahydrofolate interconversion	5.393196237250095e-7	Gmax
folic acid biosynthetic process	6.319934441211509e-7	Gmax
RNA metabolic process	6.732728367631545e-7	Gmax
positive regulation of mitotic metaphase/anaphase transition	7.409376419943048e-7	Gmax
mRNA splicing, via spliceosome	9.067502528871433e-7	Gmax
fatty acid biosynthetic process	1.1058005729244903e-6	Gmax
UDP-rhamnose biosynthetic process	1.7524737165714666e-6	Gmax
COPII-coated vesicle cargo loading	1.936994938397184e-6	Gmax
cell division	2.2552895924470222e-6	Gmax
phosphorylation	2.4221188472520172e-6	Gmax
mismatch repair	2.4221188472520172e-6	Gmax
removal of superoxide radicals	3.4464219325364604e-6	Gmax
mRNA 3'-end processing by stem-loop binding and cleavage	4.020640404711397e-6	Gmax
nuclear polyadenylation-dependent rRNA catabolic process	4.347089501618872e-6	Gmax
nuclear polyadenylation-dependent tRNA catabolic process	4.347089501618872e-6	Gmax
photosynthesis	5.113623080300871e-6	Gmax
reproductive structure development	5.258389174159275e-6	Gmax
L-proline biosynthetic process	5.636391358834406e-6	Gmax
PSII associated light-harvesting complex II catabolic process	8.146972949252323e-6	Gmax
cytoplasmic microtubule organization	8.956381085535365e-6	Gmax
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8.956381085535365e-6	Gmax
brassinosteroid biosynthetic process	1.041154834299162e-5	Gmax
malate metabolic process	1.1343639069272786e-5	Gmax
U4 snRNA 3'-end processing	1.2442128214113826e-5	Gmax
brassinosteroid homeostasis	1.2442128214113826e-5	Gmax
response to chemical	1.3444969066152227e-5	Gmax
nucleoside diphosphate catabolic process	1.3722106111066709e-5	Gmax
ascorbate glutathione cycle	1.7774518428183872e-5	Gmax
galactose catabolic process	1.7774518428183872e-5	Gmax
histone H2B conserved C-terminal lysine ubiquitination	1.7774518428183872e-5	Gmax
histone monoubiquitination	1.7774518428183872e-5	Gmax
ketone body biosynthetic process	1.7774518428183872e-5	Gmax
long-chain fatty acid import into peroxisome	1.7774518428183872e-5	Gmax
nitric oxide biosynthetic process	1.7774518428183872e-5	Gmax
pentose catabolic process	1.7774518428183872e-5	Gmax
phenylacetate catabolic process	1.7774518428183872e-5	Gmax
positive regulation of DNA demethylation	1.7774518428183872e-5	Gmax
ribonucleoside monophosphate biosynthetic process	1.7774518428183872e-5	Gmax
very long-chain fatty acid catabolic process	1.7774518428183872e-5	Gmax
exonucleolytic catabolism of deadenylated mRNA	2.1137124765217446e-5	Gmax
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	2.1137124765217446e-5	Gmax
metaphase/anaphase transition of mitotic cell cycle	2.3756707746394288e-5	Gmax
glutamine biosynthetic process	3.987939088352529e-5	Gmax
response to blue light	3.987939088352529e-5	Gmax
gluconeogenesis	4.422842573772373e-5	Gmax
adenine salvage	6.331206244323657e-5	Gmax
AMP salvage	6.331206244323657e-5	Gmax
gene silencing by RNA	7.419205606683628e-5	Gmax
folic acid-containing compound metabolic process	7.939441570088087e-5	Gmax
methionyl-tRNA aminoacylation	7.939441570088087e-5	Gmax
very long-chain fatty acid metabolic process	7.939441570088087e-5	Gmax
microtubule nucleation by interphase microtubule organizing center	1.1091520932405385e-4	Gmax
rRNA catabolic process	1.3063978516864605e-4	Gmax
purine ribonucleoside salvage	1.403171504323901e-4	Gmax
tetrahydrofolate biosynthetic process	1.403171504323901e-4	Gmax
cytokinin-activated signaling pathway	1.4311765497482297e-4	Gmax
nuclear mRNA surveillance	1.6031122608997614e-4	Gmax
isocitrate metabolic process	1.9018680175829537e-4	Gmax
response to light stimulus	1.91906244535038e-4	Gmax
cellular carbohydrate metabolic process	2.1429593452057123e-4	Gmax
dCTP catabolic process	2.1429593452057123e-4	Gmax
DNA protection	2.1429593452057123e-4	Gmax
regulation of meiotic cell cycle	2.1429593452057123e-4	Gmax
regulation of alternative mRNA splicing, via spliceosome	2.1566852070940574e-4	Gmax
mRNA cis splicing, via spliceosome	2.570665556081677e-4	Gmax
post-embryonic development	2.7659819749487155e-4	Gmax
DNA unwinding involved in DNA replication	2.8734198689052214e-4	Gmax
mitotic recombination	2.959472627431104e-4	Gmax
triterpenoid biosynthetic process	2.959472627431104e-4	Gmax
RNA splicing	3.040560249789756e-4	Gmax
sterol metabolic process	3.958716062213449e-4	Gmax
cell wall organization	3.958716062213449e-4	Gmax
anaphase-promoting complex-dependent catabolic process	4.1207140018262545e-4	Gmax
cellular response to hypoxia	4.2945703605466317e-4	Gmax
inositol lipid-mediated signaling	4.2945703605466317e-4	Gmax
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	4.2945703605466317e-4	Gmax
mitochondrial pyruvate transmembrane transport	4.2945703605466317e-4	Gmax
positive regulation of phosphorylation of RNA polymerase II C-terminal domain	4.2945703605466317e-4	Gmax
pre-mRNA cleavage required for polyadenylation	4.2945703605466317e-4	Gmax
sugar mediated signaling pathway	4.2945703605466317e-4	Gmax
cell wall mannoprotein biosynthetic process	4.2945703605466317e-4	Gmax
glutathione catabolic process	4.2945703605466317e-4	Gmax
production of small RNA involved in gene silencing by RNA	4.2945703605466317e-4	Gmax
xanthophyll biosynthetic process	4.2945703605466317e-4	Gmax
negative regulation of ethylene-activated signaling pathway	4.591666116341689e-4	Gmax
spliceosomal snRNP assembly	4.6167581811938033e-4	Gmax
DNA-dependent DNA replication	4.788984488637385e-4	Gmax
response to salt stress	5.092541711905681e-4	Gmax
cytoskeleton organization	5.456127692482444e-4	Gmax
mitotic cell cycle	5.911711091474883e-4	Gmax
nuclear-transcribed mRNA catabolic process	5.945777044803837e-4	Gmax
ATP metabolic process	6.147001857699411e-4	Gmax
histone H4 acetylation	6.147001857699411e-4	Gmax
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	6.147001857699411e-4	Gmax
one-carbon metabolic process	6.189563458574273e-4	Gmax
regulation of catalytic activity	7.210746100611625e-4	Gmax
heme biosynthetic process	7.583982431608638e-4	Gmax
5-phosphoribose 1-diphosphate biosynthetic process	7.638827619284065e-4	Gmax
