TermID	genes	all	pval	padj	Class	Mode	Motif	Species
translation	74	510	2.8065372344236806e-18	1.0830427187640984e-14	GOBP	WGD	bifan	Athaliana
chromatin organization	31	164	2.6890982731686038e-11	5.188615118078821e-8	GOBP	WGD	bifan	Athaliana
negative regulation of transcription, DNA-templated	19	99	1.46143650125755e-7	1.8798944861176284e-4	GOBP	WGD	bifan	Athaliana
maturation of SSU-rRNA	6	14	2.294652358796925e-5	0.022137658631493334	GOBP	WGD	bifan	Athaliana
proteasomal protein catabolic process	8	28	3.084668200786284e-5	0.02380746917366854	GOBP	WGD	bifan	Athaliana
nucleoside diphosphate catabolic process	4	6	6.73116552473615e-5	0.04329261293326134	GOBP	WGD	bifan	Athaliana
structural constituent of ribosome	66	367	2.0325666366741013e-21	5.5692325844870375e-18	GOMF	WGD	bifan	Athaliana
mRNA binding	102	908	1.0467916936166491e-16	1.434104620254809e-13	GOMF	WGD	bifan	Athaliana
microtubule binding	27	138	2.2823099727647537e-10	2.0845097751251419e-7	GOMF	WGD	bifan	Athaliana
histone binding	19	84	8.761144826445318e-9	6.001384206115043e-6	GOMF	WGD	bifan	Athaliana
RNA binding	84	967	3.087706175820817e-8	1.6920629843498077e-5	GOMF	WGD	bifan	Athaliana
8-oxo-dGTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
dATP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
dCTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
dGTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
dTTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
dUTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
GTP phosphohydrolase activity	4	6	6.73116552473615e-5	0.015369494614814211	GOMF	WGD	bifan	Athaliana
proton-transporting ATPase activity, rotational mechanism	8	32	8.832856676629703e-5	0.018616944072281066	GOMF	WGD	bifan	Athaliana
transcription coregulator activity	11	62	1.3032715308840243e-4	0.02550688567587305	GOMF	WGD	bifan	Athaliana
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	4	7	1.5120224894277174e-4	0.02589338513144966	GOMF	WGD	bifan	Athaliana
nucleoside-diphosphatase activity	4	7	1.5120224894277174e-4	0.02589338513144966	GOMF	WGD	bifan	Athaliana
Zinc-binding ribosomal protein	8	19	1.0939479467415438e-6	0.008801849145439146	InterPro	WGD	bifan	Athaliana
Protein BRANCHLESS TRICHOME-like	6	10	1.8877960633649642e-6	0.008801849145439146	InterPro	WGD	bifan	Athaliana
Electron transport accessory-like domain superfamily	4	4	4.842801516104462e-6	0.011289781034418526	InterPro	WGD	bifan	Athaliana
Protein DEK	4	4	4.842801516104462e-6	0.011289781034418526	InterPro	WGD	bifan	Athaliana
Proteasome, subunit alpha/beta	8	24	8.62988481554385e-6	0.01609473518098928	InterPro	WGD	bifan	Athaliana
Interactor of constitutive active ROPs	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
Protein BREVIS RADIX-like	4	5	2.330797694754489e-5	0.016718991156604315	InterPro	WGD	bifan	Athaliana
