TermID	genes	all	pval	padj	Class	Mode	Motif	Peak	Species
translation	74	510	3.2690657262395158e-19	1.261532463755829e-15	GOBP	WGD	bifan	peak1	Athaliana
chromatin organization	31	164	1.0258799667123188e-11	1.9794353957714192e-8	GOBP	WGD	bifan	peak1	Athaliana
negative regulation of transcription, DNA-templated	17	99	1.9843310445558774e-6	0.002552511166980377	GOBP	WGD	bifan	peak1	Athaliana
maturation of SSU-rRNA	6	14	1.849070126867197e-5	0.017838904048951283	GOBP	WGD	bifan	peak1	Athaliana
proteasomal protein catabolic process	8	28	2.3483789770304895e-5	0.018124788944721318	GOBP	WGD	bifan	peak1	Athaliana
nucleoside diphosphate catabolic process	4	6	5.798713533881342e-5	0.037295392545413496	GOBP	WGD	bifan	peak1	Athaliana
ribosomal small subunit assembly	7	25	8.878013222577705e-5	0.04355670759939736	GOBP	WGD	bifan	peak1	Athaliana
regulation of double-strand break repair	3	3	9.228094065199551e-5	0.04355670759939736	GOBP	WGD	bifan	peak1	Athaliana
regulation of transcription, DNA-templated	33	362	1.0950337772787864e-4	0.04355670759939736	GOBP	WGD	bifan	peak1	Athaliana
proteolysis involved in cellular protein catabolic process	10	53	1.128704524472593e-4	0.04355670759939736	GOBP	WGD	bifan	peak1	Athaliana
histone H3-K27 trimethylation	4	7	1.304447324188083e-4	0.045762383854925565	GOBP	WGD	bifan	peak1	Athaliana
structural constituent of ribosome	66	367	2.574575871545039e-22	7.054337888033406e-19	GOMF	WGD	bifan	peak1	Athaliana
mRNA binding	102	908	7.413873239870319e-18	1.0157006338622337e-14	GOMF	WGD	bifan	peak1	Athaliana
microtubule binding	27	138	9.790796004986215e-11	8.942260351220744e-8	GOMF	WGD	bifan	peak1	Athaliana
histone binding	19	84	4.7280344794241375e-9	2.9695896304669025e-6	GOMF	WGD	bifan	peak1	Athaliana
RNA binding	84	967	5.418959179684129e-9	2.9695896304669025e-6	GOMF	WGD	bifan	peak1	Athaliana
8-oxo-dGTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
dATP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
dCTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
dGTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
dTTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
dUTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
GTP phosphohydrolase activity	4	6	5.798713533881342e-5	0.013240395902362397	GOMF	WGD	bifan	peak1	Athaliana
proton-transporting ATPase activity, rotational mechanism	8	32	6.767160829589317e-5	0.0142630928254421	GOMF	WGD	bifan	peak1	Athaliana
transcription coregulator activity	11	62	9.313752310895787e-5	0.01822834380846747	GOMF	WGD	bifan	peak1	Athaliana
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	4	7	1.304447324188083e-4	0.02233866042672092	GOMF	WGD	bifan	peak1	Athaliana
nucleoside-diphosphatase activity	4	7	1.304447324188083e-4	0.02233866042672092	GOMF	WGD	bifan	peak1	Athaliana
Zinc-binding ribosomal protein	8	19	8.209691429605405e-7	0.007048957602838179	InterPro	WGD	bifan	peak1	Athaliana
Protein BRANCHLESS TRICHOME-like	6	10	1.5118407727266873e-6	0.007048957602838179	InterPro	WGD	bifan	peak1	Athaliana
Electron transport accessory-like domain superfamily	4	4	4.159853459528371e-6	0.009697658377525516	InterPro	WGD	bifan	peak1	Athaliana
Protein DEK	4	4	4.159853459528371e-6	0.009697658377525516	InterPro	WGD	bifan	peak1	Athaliana
Proteasome, subunit alpha/beta	8	24	6.528368696629778e-6	0.012175407619214536	InterPro	WGD	bifan	peak1	Athaliana
Interactor of constitutive active ROPs	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Protein BREVIS RADIX-like	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein L5	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein L5 domain superfamily	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein L5, C-terminal	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein L5, conserved site	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein L5, N-terminal	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
V-ATPase proteolipid subunit C, eukaryotic	4	5	2.0050120071711803e-5	0.014382105359131734	InterPro	WGD	bifan	peak1	Athaliana
Translation protein SH3-like domain superfamily	8	31	5.283307121982201e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Actin/actin-like conserved site	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Histone deacetylase interacting domain	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Histone-binding protein RBBP4, N-terminal	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Nucleoside phosphatase GDA1/CD39	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein S8	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Ribosomal protein S8 superfamily	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Sin3, C-terminal	4	6	5.798713533881342e-5	0.02574904938259215	InterPro	WGD	bifan	peak1	Athaliana
Small GTPase	12	70	6.412220209916154e-5	0.027179069753394607	InterPro	WGD	bifan	peak1	Athaliana
PWWP domain	6	18	9.781634943358144e-5	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Actin, conserved site	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Alfin	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Alfin, N-terminal	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Alfin1-like, PHD finger	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, active site	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Glyceraldehyde-3-phosphate dehydrogenase, type I	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
Glyceraldehyde/Erythrose phosphate dehydrogenase family	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
V-ATPase proteolipid subunit	4	7	1.304447324188083e-4	0.036860519085011735	InterPro	WGD	bifan	peak1	Athaliana
GeBP	7	11	2.1885620944994883e-7	9.629673215797749e-6	Family	SSD	bifan	peak1	Athaliana
CPP	4	7	2.1770060934655486e-4	0.004789413405624207	Family	SSD	bifan	peak1	Athaliana
defense response	76	641	2.4292771263336945e-23	9.374580430521727e-20	GOBP	SSD	bifan	peak1	Athaliana
signal transduction	37	266	5.4464156627586616e-14	1.0508859021292837e-10	GOBP	SSD	bifan	peak1	Athaliana
developmental process	14	52	6.236469144976865e-10	8.022178143488574e-7	GOBP	SSD	bifan	peak1	Athaliana
DNA-templated transcription, termination	12	38	1.383629255689051e-9	1.334856324426012e-6	GOBP	SSD	bifan	peak1	Athaliana
translation	42	510	2.5522232424404988e-8	1.969805898515577e-5	GOBP	SSD	bifan	peak1	Athaliana
cytoplasmic translation	8	41	4.093773775430875e-5	0.02586259340746902	GOBP	SSD	bifan	peak1	Athaliana
purine nucleoside transmembrane transport	5	14	5.334250869237596e-5	0.02586259340746902	GOBP	SSD	bifan	peak1	Athaliana
cell surface receptor signaling pathway	7	32	5.752677499901853e-5	0.02586259340746902	GOBP	SSD	bifan	peak1	Athaliana
aromatic compound biosynthetic process	4	8	6.701889973430688e-5	0.02586259340746902	GOBP	SSD	bifan	peak1	Athaliana
transcription by RNA polymerase I	4	8	6.701889973430688e-5	0.02586259340746902	GOBP	SSD	bifan	peak1	Athaliana
purine nucleobase transmembrane transport	5	15	7.790089531976833e-5	0.027329050458089633	GOBP	SSD	bifan	peak1	Athaliana
ADP binding	49	113	3.96251117021996e-43	1.0857280606402691e-39	GOMF	SSD	bifan	peak1	Athaliana
structural constituent of chromatin	16	49	1.3397546802250613e-12	1.835463911908334e-9	GOMF	SSD	bifan	peak1	Athaliana
structural constituent of ribosome	37	367	8.274880017185641e-10	7.557723749029552e-7	GOMF	SSD	bifan	peak1	Athaliana
double-stranded DNA binding	16	83	7.513287195983758e-9	5.146601729248874e-6	GOMF	SSD	bifan	peak1	Athaliana
NAD(P)+ nucleosidase activity	8	22	2.3496872600073756e-7	9.197347274886013e-5	GOMF	SSD	bifan	peak1	Athaliana
NAD+ nucleosidase activity	8	22	2.3496872600073756e-7	9.197347274886013e-5	GOMF	SSD	bifan	peak1	Athaliana
NAD+ nucleotidase, cyclic ADP-ribose generating	8	22	2.3496872600073756e-7	9.197347274886013e-5	GOMF	SSD	bifan	peak1	Athaliana
protein heterodimerization activity	14	81	2.725082477574905e-7	9.33340748569405e-5	GOMF	SSD	bifan	peak1	Athaliana
mRNA binding	53	908	2.0089634911990977e-5	0.006116177739872808	GOMF	SSD	bifan	peak1	Athaliana
protein dimerization activity	9	51	3.160858831648989e-5	0.00866075319871823	GOMF	SSD	bifan	peak1	Athaliana
purine nucleoside transmembrane transporter activity	5	14	5.334250869237596e-5	0.013287133983373648	GOMF	SSD	bifan	peak1	Athaliana
purine nucleobase transmembrane transporter activity	5	15	7.790089531976833e-5	0.017787371098013767	GOMF	SSD	bifan	peak1	Athaliana
protein binding	187	4618	1.4931299639633783e-4	0.03147058539430505	GOMF	SSD	bifan	peak1	Athaliana
Disease resistance protein, plants	50	107	4.938607431858989e-46	4.6052514302085075e-42	InterPro	SSD	bifan	peak1	Athaliana
NB-ARC	49	106	7.826266639084087e-45	3.6489968204729557e-41	InterPro	SSD	bifan	peak1	Athaliana
Apoptotic protease-activating factors, helical domain	44	92	3.608434190134156e-41	1.121621627433367e-37	InterPro	SSD	bifan	peak1	Athaliana
Toll/interleukin-1 receptor homology (TIR) domain	35	77	5.761974104829795e-32	1.074608170550757e-28	InterPro	SSD	bifan	peak1	Athaliana
Toll/interleukin-1 receptor homology (TIR) domain superfamily	35	77	5.761974104829795e-32	1.074608170550757e-28	InterPro	SSD	bifan	peak1	Athaliana
Leucine-rich repeat 3	30	56	2.3785322024083e-30	3.696635464576233e-27	InterPro	SSD	bifan	peak1	Athaliana
Leucine-rich repeat domain superfamily	68	448	3.56496102981635e-27	4.749037371862495e-24	InterPro	SSD	bifan	peak1	Athaliana
Winged helix DNA-binding domain superfamily	32	116	2.2781211880549304e-21	2.6554350098265283e-18	InterPro	SSD	bifan	peak1	Athaliana
C-JID domain	13	28	8.317732644545489e-13	8.618095212265187e-10	InterPro	SSD	bifan	peak1	Athaliana
Winged helix-like DNA-binding domain superfamily	23	116	2.09877934245509e-12	1.9571117368393714e-9	InterPro	SSD	bifan	peak1	Athaliana
Transcription termination factor, mitochondrial/chloroplastic	13	33	1.0981981796412144e-11	9.252064092786773e-9	InterPro	SSD	bifan	peak1	Athaliana
P-loop containing nucleoside triphosphate hydrolase	67	855	1.1906141459886462e-11	9.252064092786773e-9	InterPro	SSD	bifan	peak1	Athaliana
MTERF superfamily, mitochondrial/chloroplastic	12	32	1.3767087833167348e-10	9.875238003406577e-8	InterPro	SSD	bifan	peak1	Athaliana
Histone-fold	14	54	1.0783093729550379e-9	7.182310644861234e-7	InterPro	SSD	bifan	peak1	Athaliana
CENP-T/Histone H4, histone fold	6	8	2.8678880716798624e-8	1.5731209569655716e-5	InterPro	SSD	bifan	peak1	Athaliana
Histone H4	6	8	2.8678880716798624e-8	1.5731209569655716e-5	InterPro	SSD	bifan	peak1	Athaliana
Histone H4, conserved site	6	8	2.8678880716798624e-8	1.5731209569655716e-5	InterPro	SSD	bifan	peak1	Athaliana
AAA+ ATPase domain	26	239	6.137837913372124e-8	3.1797410301219474e-5	InterPro	SSD	bifan	peak1	Athaliana
Cysteine-rich transmembrane CYSTM domain	6	10	2.0352465375265342e-7	9.489336981217466e-5	InterPro	SSD	bifan	peak1	Athaliana
Histone H3/CENP-A	6	10	2.0352465375265342e-7	9.489336981217466e-5	InterPro	SSD	bifan	peak1	Athaliana
Receptor-like protein RLP23-like	8	23	3.5016859720031033e-7	1.5549153185204256e-4	InterPro	SSD	bifan	peak1	Athaliana
Leucine-rich repeat	25	252	6.418651024788871e-7	2.720632763916192e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein L21 superfamily	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein L21e	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein L21e, conserved site	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein S17e	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein S17e-like superfamily	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Ribosomal protein S17e, conserved site	4	4	1.0617441187907615e-6	3.5359871099013753e-4	InterPro	SSD	bifan	peak1	Athaliana
Small auxin-up RNA	10	45	1.2707831597661531e-6	4.0862251602825445e-4	InterPro	SSD	bifan	peak1	Athaliana
Translation elongation factor EFTu-like, domain 2	7	20	1.8536817783054108e-6	5.761860860899319e-4	InterPro	SSD	bifan	peak1	Athaliana
Powdery mildew resistance protein, RPW8 domain	5	9	3.839073625501887e-6	0.0011548181147679063	InterPro	SSD	bifan	peak1	Athaliana
Histone H2A/H2B/H3	8	31	4.487544090406127e-6	0.0013076983950949105	InterPro	SSD	bifan	peak1	Athaliana
DNA-directed RNA polymerase, insert domain	4	5	5.172991713777148e-6	0.0013399485480825527	InterPro	SSD	bifan	peak1	Athaliana
DNA-directed RNA polymerase, insert domain superfamily	4	5	5.172991713777148e-6	0.0013399485480825527	InterPro	SSD	bifan	peak1	Athaliana
DNA-directed RNA polymerase, RpoA/D/Rpb3-type	4	5	5.172991713777148e-6	0.0013399485480825527	InterPro	SSD	bifan	peak1	Athaliana
Sec63 domain	4	5	5.172991713777148e-6	0.0013399485480825527	InterPro	SSD	bifan	peak1	Athaliana
Translational (tr)-type GTP-binding domain	7	24	7.3981640595417495e-6	0.0018645372933845086	InterPro	SSD	bifan	peak1	Athaliana
Tubulin	6	17	9.88931439919555e-6	0.0023645604300640646	InterPro	SSD	bifan	peak1	Athaliana
Tubulin, C-terminal	6	17	9.88931439919555e-6	0.0023645604300640646	InterPro	SSD	bifan	peak1	Athaliana
Tubulin, conserved site	6	18	1.4431504381896829e-5	0.0033643444590296984	InterPro	SSD	bifan	peak1	Athaliana
Alpha tubulin	4	6	1.5122613722056602e-5	0.0034394725111750687	InterPro	SSD	bifan	peak1	Athaliana
F-box domain	19	201	2.7828439908531577e-5	0.0060443439430964245	InterPro	SSD	bifan	peak1	Athaliana
Tubulin/FtsZ, 2-layer sandwich domain	6	20	2.8520228793162755e-5	0.0060443439430964245	InterPro	SSD	bifan	peak1	Athaliana
Tubulin/FtsZ, C-terminal	6	20	2.8520228793162755e-5	0.0060443439430964245	InterPro	SSD	bifan	peak1	Athaliana
ATX3/4/5, ePHD domain	3	3	3.31635485410273e-5	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
ATX3/4/5, PHD domain	3	3	3.31635485410273e-5	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
DNA-directed RNA polymerase, 30-40kDa subunit, conserved site	3	3	3.31635485410273e-5	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
Histone-lysine N-methyltransferase ATX	3	3	3.31635485410273e-5	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
Protein MS5	4	7	3.4385824742344037e-05	0.006412956314447163	InterPro	SSD	bifan	peak1	Athaliana
